이름,생성자,생성 일시
아이디어 정리,KimHyunbin,2026년 1월 9일 오전 10:07
기능 정리,KimHyunbin,2026년 1월 13일 오전 10:16
각자 아이디어 정리,윤명진,2026년 1월 15일 오전 9:35
최종 아이디어 : 물류 분류 로봇,KimHyunbin,2026년 1월 13일 오후 4:26
"아이디어 : 대시보드에 보여주면 좋을 것들 ",KimHyunbin,2026년 1월 15일 오후 2:49
간단한 ERD 스크래치,KimHyunbin,2026년 1월 15일 오후 3:25
구체적인 시연 흐름,KimHyunbin,2026년 1월 16일 오전 10:16
사야 할 것,KimHyunbin,2026년 1월 16일 오전 10:17
프론트엔드 필요한 데이터 필드 목록,재국,2026년 1월 19일 오전 10:23
오도메트리,구진영,2026년 1월 20일 오후 1:51
1월 23일 발표 준비,KimHyunbin,2026년 1월 20일 오후 3:16
영상 포트폴리오 1안,윤명진,2026년 1월 28일 오전 10:54
영상 포트폴리오 2안,윤명진,2026년 1월 30일 오후 12:23
ekf,승현 한,2026년 1월 29일 오후 3:33
최종 발표,KimHyunbin,2026년 2월 2일 오후 6:15
영상 포트폴리오 최종,윤명진,2026년 2월 6일 오후 5:12
QnA,경근 배,2026년 2월 12일 오전 1:46
예상 QnA - 한승현,승현 한,2026년 2월 12일 오전 8:19
QnA,구진영,2026년 2월 12일 오전 10:10