이름,생성 일시,생성자
아이디어 정리,2026년 1월 9일 오전 10:07,KimHyunbin
기능 정리,2026년 1월 13일 오전 10:16,KimHyunbin
최종 아이디어 : 물류 분류 로봇,2026년 1월 13일 오후 4:26,KimHyunbin
각자 아이디어 정리,2026년 1월 15일 오전 9:35,윤명진
"아이디어 : 대시보드에 보여주면 좋을 것들 ",2026년 1월 15일 오후 2:49,KimHyunbin
간단한 ERD 스크래치,2026년 1월 15일 오후 3:25,KimHyunbin
구체적인 시연 흐름,2026년 1월 16일 오전 10:16,KimHyunbin
사야 할 것,2026년 1월 16일 오전 10:17,KimHyunbin
프론트엔드 필요한 데이터 필드 목록,2026년 1월 19일 오전 10:23,재국
오도메트리,2026년 1월 20일 오후 1:51,구진영
1월 23일 발표 준비,2026년 1월 20일 오후 3:16,KimHyunbin
영상 포트폴리오 1안,2026년 1월 28일 오전 10:54,윤명진
ekf,2026년 1월 29일 오후 3:33,승현 한
영상 포트폴리오 2안,2026년 1월 30일 오후 12:23,윤명진
최종 발표,2026년 2월 2일 오후 6:15,KimHyunbin
영상 포트폴리오 최종,2026년 2월 6일 오후 5:12,윤명진
QnA,2026년 2월 12일 오전 1:46,경근 배
예상 QnA - 한승현,2026년 2월 12일 오전 8:19,승현 한
QnA,2026년 2월 12일 오전 10:10,구진영